plot_number,plex_range,street_side,orientation_margin,array_key,style_vote,style_conf,th_position,layout,bua
355,355-362,down,0.9798,8,mysk,0.75,TH08,moon-b,2607.99
356,355-362,down,0.9798,8,mysk,0.75,TH07,mysk-b,2111.45
357,355-362,down,0.9798,8,mysk,0.75,TH06,mysk-a,2094.65
358,355-362,down,0.9798,8,mysk,0.75,TH05,mysk-b,2094.76
359,355-362,down,0.9798,8,mysk,0.75,TH04,mysk-a,2094.76
360,355-362,down,0.9798,8,mysk,0.75,TH03,mysk-b,2094.98
361,355-362,down,0.9798,8,mysk,0.75,TH02,mysk-a,2111.45
362,355-362,down,0.9798,8,mysk,0.75,TH01,moon-a,2607.99
363,363-368,down,0.9501,6,mysk,0.6667,TH06,moon-b,2607.99
364,363-368,down,0.9501,6,mysk,0.6667,TH05,mysk-b,2111.55
365,363-368,down,0.9501,6,mysk,0.6667,TH04,mysk-a,2094.76
366,363-368,down,0.9501,6,mysk,0.6667,TH03,mysk-b,2094.98
367,363-368,down,0.9501,6,mysk,0.6667,TH02,mysk-a,2111.55
368,363-368,down,0.9501,6,mysk,0.6667,TH01,moon-a,2607.99
369,369-376,down,0.9409,8,mysk,0.75,TH08,moon-b,2607.99
370,369-376,down,0.9409,8,mysk,0.75,TH07,mysk-b,2111.45
371,369-376,down,0.9409,8,mysk,0.75,TH06,mysk-a,2094.65
372,369-376,down,0.9409,8,mysk,0.75,TH05,mysk-b,2094.76
373,369-376,down,0.9409,8,mysk,0.75,TH04,mysk-a,2094.76
374,369-376,down,0.9409,8,mysk,0.75,TH03,mysk-b,2094.98
375,369-376,down,0.9409,8,mysk,0.75,TH02,mysk-a,2111.45
376,369-376,down,0.9409,8,mysk,0.75,TH01,moon-a,2607.99
377,377-382,right,0.9444,6,mysk,0.6667,TH06,moon-b,2607.99
378,377-382,right,0.9444,6,mysk,0.6667,TH05,mysk-b,2111.55
379,377-382,right,0.9444,6,mysk,0.6667,TH04,mysk-a,2094.76
380,377-382,right,0.9444,6,mysk,0.6667,TH03,mysk-b,2094.98
381,377-382,right,0.9444,6,mysk,0.6667,TH02,mysk-a,2111.55
382,377-382,right,0.9444,6,mysk,0.6667,TH01,moon-a,2607.99
383,383-388,right,0.9347,6,mysk,0.6667,TH06,moon-b,2607.99
384,383-388,right,0.9347,6,mysk,0.6667,TH05,mysk-b,2111.55
385,383-388,right,0.9347,6,mysk,0.6667,TH04,mysk-a,2094.76
386,383-388,right,0.9347,6,mysk,0.6667,TH03,mysk-b,2094.98
387,383-388,right,0.9347,6,mysk,0.6667,TH02,mysk-a,2111.55
388,383-388,right,0.9347,6,mysk,0.6667,TH01,moon-a,2607.99
389,389-396,right,0.972,8,mysk,0.75,TH08,moon-b,2607.99
390,389-396,right,0.972,8,mysk,0.75,TH07,mysk-b,2111.45
391,389-396,right,0.972,8,mysk,0.75,TH06,mysk-a,2094.65
392,389-396,right,0.972,8,mysk,0.75,TH05,mysk-b,2094.76
393,389-396,right,0.972,8,mysk,0.75,TH04,mysk-a,2094.76
394,389-396,right,0.972,8,mysk,0.75,TH03,mysk-b,2094.98
395,389-396,right,0.972,8,mysk,0.75,TH02,mysk-a,2111.45
396,389-396,right,0.972,8,mysk,0.75,TH01,moon-a,2607.99
397,397-404,down,0.8264,8,moon,1.0,TH01,moon-a,2607.99
398,397-404,down,0.8264,8,moon,1.0,TH02,mysk-a,2111.45
399,397-404,down,0.8264,8,moon,1.0,TH03,mysk-b,2094.98
400,397-404,down,0.8264,8,moon,1.0,TH04,mysk-a,2094.76
401,397-404,down,0.8264,8,moon,1.0,TH05,mysk-b,2094.76
402,397-404,down,0.8264,8,moon,1.0,TH06,mysk-a,2094.65
403,397-404,down,0.8264,8,moon,1.0,TH07,mysk-b,2111.45
404,397-404,down,0.8264,8,moon,1.0,TH08,moon-b,2607.99
405,405-410,up,0.883,6,mysk,0.6,TH06,moon-b,2607.99
406,405-410,up,0.883,6,mysk,0.6,TH05,mysk-b,2111.55
407,405-410,up,0.883,6,mysk,0.6,TH04,mysk-a,2094.76
408,405-410,up,0.883,6,mysk,0.6,TH03,mysk-b,2094.98
409,405-410,up,0.883,6,mysk,0.6,TH02,mysk-a,2111.55
410,405-410,up,0.883,6,mysk,0.6,TH01,moon-a,2607.99
411,411-418,up,0.9365,8,mysk,0.75,TH08,moon-b,2607.99
412,411-418,up,0.9365,8,mysk,0.75,TH07,mysk-b,2111.45
413,411-418,up,0.9365,8,mysk,0.75,TH06,mysk-a,2094.65
414,411-418,up,0.9365,8,mysk,0.75,TH05,mysk-b,2094.76
415,411-418,up,0.9365,8,mysk,0.75,TH04,mysk-a,2094.76
416,411-418,up,0.9365,8,mysk,0.75,TH03,mysk-b,2094.98
417,411-418,up,0.9365,8,mysk,0.75,TH02,mysk-a,2111.45
418,411-418,up,0.9365,8,mysk,0.75,TH01,moon-a,2607.99
419,419-422,up,0.9281,4-2,mysk,1.0,TH04,mysk-b,2586.13
420,419-422,up,0.9281,4-2,mysk,1.0,TH03,mysk-b,2111.02
421,419-422,up,0.9281,4-2,mysk,1.0,TH02,mysk-a,2111.02
422,419-422,up,0.9281,4-2,mysk,1.0,TH01,mysk-a,2586.13
423,423-430,up,0.9073,8,mysk,0.6667,TH08,moon-b,2607.99
424,423-430,up,0.9073,8,mysk,0.6667,TH07,mysk-b,2111.45
425,423-430,up,0.9073,8,mysk,0.6667,TH06,mysk-a,2094.65
426,423-430,up,0.9073,8,mysk,0.6667,TH05,mysk-b,2094.76
427,423-430,up,0.9073,8,mysk,0.6667,TH04,mysk-a,2094.76
428,423-430,up,0.9073,8,mysk,0.6667,TH03,mysk-b,2094.98
429,423-430,up,0.9073,8,mysk,0.6667,TH02,mysk-a,2111.45
430,423-430,up,0.9073,8,mysk,0.6667,TH01,moon-a,2607.99
