plot_number,plex_range,street_side,orientation_margin,array_key,style_vote,style_conf,th_position,layout,bua
84,79-84,left,0.9078,6,mysk,0.6,TH01,moon-a,2607.99
85,85-92,right,0.9358,8,mysk,0.75,TH08,moon-b,2607.99
86,85-92,right,0.9358,8,mysk,0.75,TH07,mysk-b,2111.45
87,85-92,right,0.9358,8,mysk,0.75,TH06,mysk-a,2094.65
88,85-92,right,0.9358,8,mysk,0.75,TH05,mysk-b,2094.76
89,85-92,right,0.9358,8,mysk,0.75,TH04,mysk-a,2094.76
90,85-92,right,0.9358,8,mysk,0.75,TH03,mysk-b,2094.98
91,85-92,right,0.9358,8,mysk,0.75,TH02,mysk-a,2111.45
92,85-92,right,0.9358,8,mysk,0.75,TH01,moon-a,2607.99
93,93-96,left,0.9839,4-1,moon,1.0,TH01,moon-a,2607.99
94,93-96,left,0.9839,4-1,moon,1.0,TH02,moon-a,2179.8
95,93-96,left,0.9839,4-1,moon,1.0,TH03,moon-b,2179.8
96,93-96,left,0.9839,4-1,moon,1.0,TH04,moon-b,2607.99
97,97-102,right,0.9221,6,mysk,0.6667,TH06,moon-b,2607.99
98,97-102,right,0.9221,6,mysk,0.6667,TH05,mysk-b,2111.55
99,97-102,right,0.9221,6,mysk,0.6667,TH04,mysk-a,2094.76
100,97-102,right,0.9221,6,mysk,0.6667,TH03,mysk-b,2094.98
101,97-102,right,0.9221,6,mysk,0.6667,TH02,mysk-a,2111.55
102,97-102,right,0.9221,6,mysk,0.6667,TH01,moon-a,2607.99
103,103-110,left,0.8891,8,mysk,0.75,TH08,moon-b,2607.99
104,103-110,left,0.8891,8,mysk,0.75,TH07,mysk-b,2111.45
105,103-110,left,0.8891,8,mysk,0.75,TH06,mysk-a,2094.65
106,103-110,left,0.8891,8,mysk,0.75,TH05,mysk-b,2094.76
107,103-110,left,0.8891,8,mysk,0.75,TH04,mysk-a,2094.76
108,103-110,left,0.8891,8,mysk,0.75,TH03,mysk-b,2094.98
109,103-110,left,0.8891,8,mysk,0.75,TH02,mysk-a,2111.45
110,103-110,left,0.8891,8,mysk,0.75,TH01,moon-a,2607.99
111,111-114,right,0.9955,4-2,mysk,1.0,TH01,mysk-a,2586.13
112,111-114,right,0.9955,4-2,mysk,1.0,TH02,mysk-a,2111.02
113,111-114,right,0.9955,4-2,mysk,1.0,TH03,mysk-b,2111.02
114,111-114,right,0.9955,4-2,mysk,1.0,TH04,mysk-b,2586.13
115,115-120,left,0.8937,6,mysk,0.6667,TH06,moon-b,2607.99
116,115-120,left,0.8937,6,mysk,0.6667,TH05,mysk-b,2111.55
117,115-120,left,0.8937,6,mysk,0.6667,TH04,mysk-a,2094.76
118,115-120,left,0.8937,6,mysk,0.6667,TH03,mysk-b,2094.98
119,115-120,left,0.8937,6,mysk,0.6667,TH02,mysk-a,2111.55
120,115-120,left,0.8937,6,mysk,0.6667,TH01,moon-a,2607.99
121,121-124,right,0.9747,4-2,mysk,1.0,TH04,mysk-b,2586.13
122,121-124,right,0.9747,4-2,mysk,1.0,TH03,mysk-b,2111.02
123,121-124,right,0.9747,4-2,mysk,1.0,TH02,mysk-a,2111.02
124,121-124,right,0.9747,4-2,mysk,1.0,TH01,mysk-a,2586.13
125,125-128,right,0.8922,4-1,moon,1.0,TH04,moon-b,2607.99
126,125-128,right,0.8922,4-1,moon,1.0,TH03,moon-b,2179.8
127,125-128,right,0.8922,4-1,moon,1.0,TH02,moon-a,2179.8
128,125-128,right,0.8922,4-1,moon,1.0,TH01,moon-a,2607.99
129,129-132,right,0.9439,4-2,mysk,1.0,TH04,mysk-b,2586.13
130,129-132,right,0.9439,4-2,mysk,1.0,TH03,mysk-b,2111.02
131,129-132,right,0.9439,4-2,mysk,1.0,TH02,mysk-a,2111.02
132,129-132,right,0.9439,4-2,mysk,1.0,TH01,mysk-a,2586.13
133,133-136,right,0.8244,4-1,moon,1.0,TH04,moon-b,2607.99
134,133-136,right,0.8244,4-1,moon,1.0,TH03,moon-b,2179.8
135,133-136,right,0.8244,4-1,moon,1.0,TH02,moon-a,2179.8
136,133-136,right,0.8244,4-1,moon,1.0,TH01,moon-a,2607.99
137,137-144,left,0.8305,8,mysk,0.6,TH08,moon-b,2607.99
138,137-144,left,0.8305,8,mysk,0.6,TH07,mysk-b,2111.45
139,137-144,left,0.8305,8,mysk,0.6,TH06,mysk-a,2094.65
140,137-144,left,0.8305,8,mysk,0.6,TH05,mysk-b,2094.76
141,137-144,left,0.8305,8,mysk,0.6,TH04,mysk-a,2094.76
142,137-144,left,0.8305,8,mysk,0.6,TH03,mysk-b,2094.98
143,137-144,left,0.8305,8,mysk,0.6,TH02,mysk-a,2111.45
144,137-144,left,0.8305,8,mysk,0.6,TH01,moon-a,2607.99
145,145-148,left,0.9099,4-2,mysk,1.0,TH04,mysk-b,2586.13
146,145-148,left,0.9099,4-2,mysk,1.0,TH03,mysk-b,2111.02
147,145-148,left,0.9099,4-2,mysk,1.0,TH02,mysk-a,2111.02
148,145-148,left,0.9099,4-2,mysk,1.0,TH01,mysk-a,2586.13
149,149-152,left,0.8297,4-1,moon,1.0,TH04,moon-b,2607.99
150,149-152,left,0.8297,4-1,moon,1.0,TH03,moon-b,2179.8
151,149-152,left,0.8297,4-1,moon,1.0,TH02,moon-a,2179.8
152,149-152,left,0.8297,4-1,moon,1.0,TH01,moon-a,2607.99
153,153-158,down,0.7735,6,mysk,0.8,TH06,moon-b,2607.99
154,153-158,down,0.7735,6,mysk,0.8,TH05,mysk-b,2111.55
155,153-158,down,0.7735,6,mysk,0.8,TH04,mysk-a,2094.76
156,153-158,down,0.7735,6,mysk,0.8,TH03,mysk-b,2094.98
157,153-158,down,0.7735,6,mysk,0.8,TH02,mysk-a,2111.55
158,153-158,down,0.7735,6,mysk,0.8,TH01,moon-a,2607.99
159,159-166,down,0.9799,8,mysk,0.75,TH08,moon-b,2607.99
160,159-166,down,0.9799,8,mysk,0.75,TH07,mysk-b,2111.45
161,159-166,down,0.9799,8,mysk,0.75,TH06,mysk-a,2094.65
162,159-166,down,0.9799,8,mysk,0.75,TH05,mysk-b,2094.76
163,159-166,down,0.9799,8,mysk,0.75,TH04,mysk-a,2094.76
164,159-166,down,0.9799,8,mysk,0.75,TH03,mysk-b,2094.98
