plot_number,style_source,orientation_margin,bua_sqm
283,key_plan,0.647,203.11
284,key_plan,0.745,203.11
285,key_plan,0.745,175.72
286,key_plan,0.745,175.68
287,key_plan,0.745,191.64
288,key_plan,0.745,194.03
289,key_plan,0.745,178.57
290,key_plan,0.745,176.28
291,key_plan,0.745,176.18
292,key_plan,0.745,175.6
293,key_plan,0.745,203.11
294,colour,0.451,198.88
295,colour,0.451,187.98
296,colour,0.451,174.72
297,colour,0.451,174.73
298,colour,0.451,201.46
299,colour,0.647,198.88
300,colour,0.647,187.98
301,colour,0.647,174.72
302,colour,0.647,174.73
303,colour,0.647,201.46
304,colour,0.667,198.88
305,colour,0.667,187.98
306,colour,0.667,174.72
307,colour,0.667,174.73
308,colour,0.667,201.46
309,colour,0.667,198.88
310,colour,0.667,187.98
311,colour,0.667,174.72
312,colour,0.667,174.73
313,colour,0.667,201.46
314,key_plan,0.745,205.58
315,key_plan,0.745,173.22
316,key_plan,0.745,173.42
317,key_plan,0.745,173.52
318,key_plan,0.745,173.52
319,key_plan,0.745,173.5
320,key_plan,0.745,173.34
321,key_plan,0.745,205.46
322,key_plan,0.686,205.58
323,key_plan,0.686,173.22
324,key_plan,0.686,173.42
325,key_plan,0.686,173.52
326,key_plan,0.686,173.52
327,key_plan,0.686,173.5
328,key_plan,0.686,173.34
329,key_plan,0.686,205.46
330,key_plan,0.608,205.58
331,key_plan,0.608,173.22
332,key_plan,0.608,173.42
333,key_plan,0.608,173.52
334,key_plan,0.608,173.52
335,key_plan,0.608,173.5
336,key_plan,0.608,173.34
337,key_plan,0.608,205.46
338,key_plan,0.647,203.23
339,key_plan,0.647,190.11
340,key_plan,0.647,190.04
341,key_plan,0.647,190.01
342,key_plan,0.647,190.35
343,key_plan,0.647,202.95
344,key_plan,0.686,203.11
345,key_plan,0.686,175.72
346,key_plan,0.686,175.68
347,key_plan,0.686,191.64
348,key_plan,0.686,194.03
349,key_plan,0.686,178.57
350,key_plan,0.686,176.28
351,key_plan,0.686,176.18
352,key_plan,0.686,175.6
353,key_plan,0.686,203.11
354,colour,0.588,198.88
355,colour,0.588,187.98
