plot_number,unit_number,facade_style,bedrooms,layout,label,bua,bathrooms,maids_room,ground_floor_bedroom,plex_range,plex_size,street_side,th_position,orientation_margin,style_vote_frac,style_source
331,331,jade,3,jade-a,A,2150.2,3.5,True,False,327-334,8,left,4,0.344,1.0,plex_vote
332,332,jade,3,jade-a,A,2149.77,3.5,True,False,327-334,8,left,3,0.344,1.0,plex_vote
333,333,jade,3,jade-a,A,2158.38,3.5,True,False,327-334,8,left,2,0.344,1.0,plex_vote
334,334,jade,4,jade-a,A,2976.11,4.0,True,True,327-334,8,left,1,0.344,1.0,plex_vote
335,335,jade,4,jade-a,A,2987.95,4.0,True,True,335-338,4,up,4,0.312,1.0,plex_vote
336,336,jade,3,jade-a,A,2131.9,3.5,True,False,335-338,4,up,3,0.312,1.0,plex_vote
337,337,jade,3,jade-a,A,2131.9,3.5,True,False,335-338,4,up,2,0.312,1.0,plex_vote
338,338,jade,4,jade-a,A,2987.95,4.0,True,True,335-338,4,up,1,0.312,1.0,plex_vote
339,339,pearl,4,pearl-b,B,2779.78,4.0,True,True,339-346,8,right,8,0.312,1.0,plex_vote
340,340,pearl,3,pearl-b,B,2190.24,3.5,True,False,339-346,8,right,7,0.312,1.0,plex_vote
341,341,pearl,3,pearl-b,B,2181.84,3.5,True,False,339-346,8,right,6,0.312,1.0,plex_vote
342,342,pearl,3,pearl-b,B,2181.84,3.5,True,False,339-346,8,right,5,0.312,1.0,plex_vote
343,343,pearl,3,pearl-b,B,2181.84,3.5,True,False,339-346,8,right,4,0.312,1.0,plex_vote
344,344,pearl,3,pearl-b,B,2181.84,3.5,True,False,339-346,8,right,3,0.312,1.0,plex_vote
345,345,pearl,3,pearl-b,B,2190.24,3.5,True,False,339-346,8,right,2,0.312,1.0,plex_vote
346,346,pearl,4,pearl-b,B,2779.78,4.0,True,True,339-346,8,right,1,0.312,1.0,plex_vote
347,347,jade,4,jade-a,A,2976.11,4.0,True,True,347-354,8,right,8,0.344,1.0,plex_vote
348,348,jade,3,jade-a,A,2158.38,3.5,True,False,347-354,8,right,7,0.344,1.0,plex_vote
349,349,jade,3,jade-a,A,2149.77,3.5,True,False,347-354,8,right,6,0.344,1.0,plex_vote
350,350,jade,3,jade-a,A,2150.2,3.5,True,False,347-354,8,right,5,0.344,1.0,plex_vote
351,351,jade,3,jade-a,A,2150.2,3.5,True,False,347-354,8,right,4,0.344,1.0,plex_vote
352,352,jade,3,jade-a,A,2149.77,3.5,True,False,347-354,8,right,3,0.344,1.0,plex_vote
353,353,jade,3,jade-a,A,2158.38,3.5,True,False,347-354,8,right,2,0.344,1.0,plex_vote
354,354,jade,4,jade-a,A,2976.11,4.0,True,True,347-354,8,right,1,0.344,1.0,plex_vote
355,355,pearl,4,pearl-b,B,2777.09,4.0,True,True,355-360,6,left,6,0.333,1.0,plex_vote
356,356,pearl,3,pearl-b,B,2190.35,3.5,True,False,355-360,6,left,5,0.333,1.0,plex_vote
357,357,pearl,3,pearl-b,B,2181.73,3.5,True,False,355-360,6,left,4,0.333,1.0,plex_vote
358,358,pearl,3,pearl-b,B,2181.73,3.5,True,False,355-360,6,left,3,0.333,1.0,plex_vote
359,359,pearl,3,pearl-b,B,2190.35,3.5,True,False,355-360,6,left,2,0.333,1.0,plex_vote
360,360,pearl,4,pearl-b,B,2777.09,4.0,True,True,355-360,6,left,1,0.333,1.0,plex_vote
361,361,jade,4,jade-a,A,2976.11,4.0,True,True,361-368,8,left,8,0.5,1.0,plex_vote
362,362,jade,3,jade-a,A,2158.38,3.5,True,False,361-368,8,left,7,0.5,1.0,plex_vote
363,363,jade,3,jade-a,A,2149.77,3.5,True,False,361-368,8,left,6,0.5,1.0,plex_vote
364,364,jade,3,jade-a,A,2150.2,3.5,True,False,361-368,8,left,5,0.5,1.0,plex_vote
365,365,jade,3,jade-a,A,2150.2,3.5,True,False,361-368,8,left,4,0.5,1.0,plex_vote
366,366,jade,3,jade-a,A,2149.77,3.5,True,False,361-368,8,left,3,0.5,1.0,plex_vote
367,367,jade,3,jade-a,A,2158.38,3.5,True,False,361-368,8,left,2,0.5,1.0,plex_vote
368,368,jade,4,jade-a,A,2976.11,4.0,True,True,361-368,8,left,1,0.5,1.0,plex_vote
369,369,pearl,4,pearl-b,B,2777.09,4.0,True,True,369-374,6,left,6,0.375,1.0,plex_vote
370,370,pearl,3,pearl-b,B,2190.35,3.5,True,False,369-374,6,left,5,0.375,1.0,plex_vote
371,371,pearl,3,pearl-b,B,2181.73,3.5,True,False,369-374,6,left,4,0.375,1.0,plex_vote
372,372,pearl,3,pearl-b,B,2181.73,3.5,True,False,369-374,6,left,3,0.375,1.0,plex_vote
373,373,pearl,3,pearl-b,B,2190.35,3.5,True,False,369-374,6,left,2,0.375,1.0,plex_vote
374,374,pearl,4,pearl-b,B,2777.09,4.0,True,True,369-374,6,left,1,0.375,1.0,plex_vote
375,375,jade,4,jade-a,A,2976.11,4.0,True,True,375-382,8,down,8,0.25,1.0,plex_vote
376,376,jade,3,jade-a,A,2158.38,3.5,True,False,375-382,8,down,7,0.25,1.0,plex_vote
377,377,jade,3,jade-a,A,2149.77,3.5,True,False,375-382,8,down,6,0.25,1.0,plex_vote
378,378,jade,3,jade-a,A,2150.2,3.5,True,False,375-382,8,down,5,0.25,1.0,plex_vote
379,379,jade,3,jade-a,A,2150.2,3.5,True,False,375-382,8,down,4,0.25,1.0,plex_vote
380,380,jade,3,jade-a,A,2149.77,3.5,True,False,375-382,8,down,3,0.25,1.0,plex_vote
381,381,jade,3,jade-a,A,2158.38,3.5,True,False,375-382,8,down,2,0.25,1.0,plex_vote
382,382,jade,4,jade-a,A,2976.11,4.0,True,True,375-382,8,down,1,0.25,1.0,plex_vote
383,383,pearl,4,pearl-b,B,2779.78,4.0,True,True,383-390,8,down,8,0.312,1.0,plex_vote
384,384,pearl,3,pearl-b,B,2190.24,3.5,True,False,383-390,8,down,7,0.312,1.0,plex_vote
385,385,pearl,3,pearl-b,B,2181.84,3.5,True,False,383-390,8,down,6,0.312,1.0,plex_vote
386,386,pearl,3,pearl-b,B,2181.84,3.5,True,False,383-390,8,down,5,0.312,1.0,plex_vote
387,387,pearl,3,pearl-b,B,2181.84,3.5,True,False,383-390,8,down,4,0.312,1.0,plex_vote
388,388,pearl,3,pearl-b,B,2181.84,3.5,True,False,383-390,8,down,3,0.312,1.0,plex_vote
389,389,pearl,3,pearl-b,B,2190.24,3.5,True,False,383-390,8,down,2,0.312,1.0,plex_vote
390,390,pearl,4,pearl-b,B,2779.78,4.0,True,True,383-390,8,down,1,0.312,1.0,plex_vote
391,391,jade,4,jade-a,A,2976.11,4.0,True,True,391-398,8,down,8,0.281,1.0,plex_vote
392,392,jade,3,jade-a,A,2158.38,3.5,True,False,391-398,8,down,7,0.281,1.0,plex_vote
393,393,jade,3,jade-a,A,2149.77,3.5,True,False,391-398,8,down,6,0.281,1.0,plex_vote
394,394,jade,3,jade-a,A,2150.2,3.5,True,False,391-398,8,down,5,0.281,1.0,plex_vote
395,395,jade,3,jade-a,A,2150.2,3.5,True,False,391-398,8,down,4,0.281,1.0,plex_vote
396,396,jade,3,jade-a,A,2149.77,3.5,True,False,391-398,8,down,3,0.281,1.0,plex_vote
397,397,jade,3,jade-a,A,2158.38,3.5,True,False,391-398,8,down,2,0.281,1.0,plex_vote
398,398,jade,4,jade-a,A,2976.11,4.0,True,True,391-398,8,down,1,0.281,1.0,plex_vote
399,399,pearl,4,pearl-b,B,2779.78,4.0,True,True,399-406,8,down,8,0.25,1.0,plex_vote
400,400,pearl,3,pearl-b,B,2190.24,3.5,True,False,399-406,8,down,7,0.25,1.0,plex_vote
401,401,pearl,3,pearl-b,B,2181.84,3.5,True,False,399-406,8,down,6,0.25,1.0,plex_vote
402,402,pearl,3,pearl-b,B,2181.84,3.5,True,False,399-406,8,down,5,0.25,1.0,plex_vote
403,403,pearl,3,pearl-b,B,2181.84,3.5,True,False,399-406,8,down,4,0.25,1.0,plex_vote
404,404,pearl,3,pearl-b,B,2181.84,3.5,True,False,399-406,8,down,3,0.25,1.0,plex_vote
405,405,pearl,3,pearl-b,B,2190.24,3.5,True,False,399-406,8,down,2,0.25,1.0,plex_vote
406,406,pearl,4,pearl-b,B,2779.78,4.0,True,True,399-406,8,down,1,0.25,1.0,plex_vote
